,ETL.GSBHN10/KICK,0,1,2,3,4
0,-0.34417499921636896,,,,,
1,0.0,-0.11889433860778809,-0.09914936125278473,-0.07762927561998367,-0.1278471201658249,-0.12941642105579376
2,0.0,-0.12195577472448349,-0.08488409966230392,-0.0949302390217781,-0.12659938633441925,-0.1463572233915329
3,0.0010000000000000009,-1.4688853025436401,-1.498986005783081,-1.5350099802017212,-1.486897349357605,-1.3269652128219604
4,0.0026180339999999913,-1.537548542022705,-0.11248847097158432,-0.16843043267726898,-0.23367257416248322,-0.1511937826871872
5,0.0010000000000000009,-1.7339881658554077,-1.4635663032531738,-1.248268485069275,-1.5115580558776855,-1.5733308792114258
6,0.0020000000000000018,-0.9248985052108765,-1.113601565361023,,,
7,0.0010000000000000009,-0.9716813564300537,-1.528119444847107,,,
8,0.0020000000000000018,-0.9982762932777405,-1.2100684642791748,,,
9,-0.0006180339999999895,-1.016650915145874,-0.05609631538391113,,,
10,0.0010000000000000009,-1.5626927614212036,-1.2080134153366089,,,
11,0.00038196602515599976,-1.5323504209518433,-0.3522616922855377,,,
12,0.0013819660000000122,-1.6352243423461914,-1.64900541305542,,,
13,0.0013819660000000122,-1.7064262628555298,-1.779320478439331,,,
14,0.0017639320000000236,-1.3059310913085938,-1.5871118307113647,,,
15,0.0007639320251560111,-1.2533457279205322,-1.11323881149292,,,
16,0.0013819660000000122,-1.7159762382507324,-1.698447823524475,,,
17,0.0011458980347647252,-1.6974806785583496,-1.6272460222244263,,,
18,0.0015278640251560338,-1.7239547967910767,-1.7736388444900513,,,
19,0.0020557280503120667,-1.580946683883667,-0.6739392280578613,,,
20,0.0015278640251560338,-1.6544452905654907,-1.7175477743148804,,,
21,0.0019098300251560452,-1.6293010711669922,-1.1077989339828491,,,
22,0.0009098300503120327,-1.2665221691131592,-1.2087386846542358,,,
23,0.0015278640251560338,-1.1996723413467407,-1.6251908540725708,,,
24,0.0012917960599207468,-1.768319845199585,-1.5439555644989014,,,
